Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2004-01-02,74.68028259277344,75.3248299339001,74.34458053245287,75.02269500616744,38072300
2004-01-05,75.49269104003906,75.54639948382953,74.92199336339776,74.98913788234917,27959800
2004-01-06,75.56655883789062,75.68741182130324,75.19728441012751,75.30471156089804,20472800
2004-01-07,75.82166290283203,75.90894358910066,75.12340204546324,75.45910408521324,30170400
2004-01-08,76.12382507324219,76.14397150701917,75.71426800072626,76.03654434984375,36438400
2004-01-09,75.45909118652344,76.20434999716926,75.37852086668944,75.75451057017568,54084300
2004-01-12,76.0163803100586,76.03652161540467,75.438972318904,75.56654074930547,31564100
2004-01-13,75.5732650756836,76.02310984201654,75.03614471831932,75.92910852900937,54239700
2004-01-14,76.20439147949219,76.3118186310828,75.64712465603503,75.70755370940688,30112800
2004-01-15,76.39238739013672,76.58037979166858,75.58670420574052,76.25139308898783,38408700
2004-01-16,76.69452667236328,76.74823513119689,76.29167993545241,76.56695819751424,31922700
2004-01-20,76.67435455322266,76.97648950469667,76.4192228113976,76.89591915982214,29863000
2004-01-21,77.27862548828125,77.41290940709995,76.35208949926712,76.6273625686319,30725000
2004-01-22,77.07719421386719,77.4666047063401,76.92948448943646,77.30546915350969,29888500
2004-01-23,76.82878112792969,77.45990270127511,76.50650486512997,77.21148130865018,44245300
2004-01-26,77.79562377929688,77.8359064010747,76.79522761093916,76.80194308870503,30460600
2004-01-27,76.99662017822266,78.21857540017898,76.97647887538707,77.7150223396628,35322800
2004-01-28,76.1170883178711,77.39946754682744,75.82838433610496,77.198049380595,52621300
2004-01-29,76.19096374511719,76.43938006275542,75.5732678837051,76.24467219716348,60117100
2004-01-30,76.19096374511719,76.35209934607285,75.9291113502527,76.21781540993614,30984400
2004-02-02,76.51992797851562,76.99662428655068,75.94923550396138,76.33864599850939,38832400
2004-02-03,76.39238739013672,76.63409336993733,76.16411236610767,76.36553060100235,25093500
2004-02-04,75.76799011230469,76.35882929849225,75.72770748503167,75.99627028580699,39332600
2004-02-05,75.98954772949219,76.23125371543664,75.72098495373069,75.98283225143571,37226800
2004-02-06,76.84220123291016,77.01005226672814,76.00294606382023,76.15065579316519,37216000
2004-02-09,76.86235809326172,77.12420533176895,76.73478965107337,76.98992141304234,24851300
2004-02-10,77.11079406738281,77.30550195744536,76.71466793141386,76.72809376551068,27908100
2004-02-11,77.92987823486328,78.14472735451876,76.65420934585578,77.11076436542456,42965700
2004-02-12,77.64793395996094,78.06420148507723,77.60093584833781,77.86278320201096,27814700
2004-02-13,77.29879760742188,78.01720021163774,77.04366574358038,77.76206834779623,44739900
2004-02-17,77.9970474243164,78.17161400148463,77.72848464153661,77.78219822257438,23984300
2004-02-18,77.65460968017578,78.28572612420953,77.44647090177502,78.01716342854901,28618000
2004-02-19,77.36591339111328,78.14473965151929,77.2517707764541,78.10445703599714,51146200
2004-02-20,77.1309585571289,77.5875138897483,76.75497362052845,77.53380541481293,46728800
2004-02-23,76.93621826171875,77.3860630473464,76.65422967782686,77.359206259965,36357000
2004-02-24,76.8019027709961,77.20474414452585,75.88879292571211,76.72133244732775,43953000
2004-02-25,77.12419891357422,77.25176222273915,76.75492457081631,76.84892074489882,31213600
2004-02-26,77.17121124267578,77.40620172124987,76.76836456808219,76.94964659613096,29683000
2004-02-27,77.22492980957031,77.70834178448237,76.96308251022776,77.33907244760877,39312000
2004-03-01,77.99032592773438,78.11117378419294,77.3793455561274,77.50019853499427,33130800
2004-03-02,77.53374481201172,78.53413544919309,77.36589379331117,77.84259007173192,38556400
2004-03-03,77.67475891113281,77.79561188039038,77.15777477281682,77.37933940352367,31346200
2004-03-04,77.87617492675781,77.95002980158806,77.56061412019366,77.69489803916125,21060000
2004-03-05,78.13798522949219,78.52068525343192,77.39944195271089,77.49343809035186,55905600
2004-03-08,77.18461608886719,78.29914937336972,77.15104895671651,78.1111519192171,39281600
2004-03-09,76.87580108642578,77.35249757891019,76.70123451431313,77.2786426877244,39746100
2004-03-10,75.586669921875,77.05704132260176,75.57323897219531,77.02347419321542,67671800
2004-03-11,74.60639953613281,76.0499137520852,74.59296859024764,75.46579566620466,89134800
2004-03-12,75.586669921875,75.67395060516724,74.91526586527084,75.01597749824275,54012200
2004-03-15,74.6601333618164,75.43224909603153,74.45871520663424,75.37853553902026,57677200
2004-03-16,75.0562744140625,75.23755129005234,74.41843736522307,75.04955893794217,59832600
2004-03-17,75.8955307006836,76.04324044294147,75.2644091191845,75.31812268407964,41607300
2004-03-18,75.91567993164062,76.04995873548813,75.1502794804122,75.66725850987392,60014300
2004-03-19,74.8275375366211,75.84491322555492,74.81406464275696,75.73711465355005,48636200
2004-03-22,73.87755584716797,74.4974118905763,73.50698694058423,74.47719997573809,62752100
2004-03-23,73.74955749511719,74.38289172385714,73.68218271640075,74.28182698559942,54080200
2004-03-24,73.81017303466797,74.20768769077394,73.33853946496359,73.83038494730191,51584300
2004-03-25,74.7871322631836,74.98926170382477,73.97188576256389,74.16727618441963,49873600
2004-03-26,74.80735778808594,75.31941536126232,74.65239631038705,74.76019492873853,37409500
2004-03-29,75.85840606689453,75.95947078872494,75.17791422999136,75.21159904369131,44113600
2004-03-30,76.11441802978516,76.18179278042116,75.60909968946919,75.66300154612358,39059900
2004-03-31,76.2020034790039,76.40413286805948,75.71689705756164,76.12788971237445,48517600
2004-04-01,76.66019439697266,76.72083529785685,76.16835387155083,76.18182677154384,45103800
2004-04-02,77.2396011352539,77.37435065193864,76.74102175508287,77.35413873847239,50987700
2004-04-05,77.66410064697266,77.73821445561641,77.10488528225167,77.11835818365654,30251800
2004-04-06,77.4147720336914,77.60342339471073,77.22612067267208,77.36760919343658,28420900
2004-04-07,77.23289489746094,77.46871436229554,76.8825429211611,77.44849729988394,45890500
2004-04-08,77.05770874023438,77.75841771735887,76.63323788599946,77.75841771735887,46929700
2004-04-12,77.36088562011719,77.53606412190582,77.19244613695717,77.1991851555858,23085200
2004-04-13,76.27613067626953,77.68428734981225,76.14811503130252,77.65733641716841,56210300
2004-04-14,76.39745330810547,76.56589288328699,75.8314988028721,75.87192265599795,62322300
2004-04-15,76.10770416259766,76.6601855249641,75.70345038483099,76.43784414806444,61602500
2004-04-16,76.6938705444336,76.84209811949121,76.12117730110076,76.39067637535243,47059200
2004-04-19,76.6938705444336,76.80166914606119,76.31656258782361,76.50521913631127,28277600
2004-04-20,75.406982421875,77.02400239895931,75.31265672774519,76.86230194336032,53299400
2004-04-21,75.91230773925781,76.10095914465438,75.37330445817692,75.59564067718559,50177300
2004-04-22,76.97684478759766,77.25982188923423,75.75734455885541,75.78429549334915,62071500
2004-04-23,77.05096435546875,77.19245291690655,76.66692250574745,77.09138819006083,29395700
2004-04-26,76.94314575195312,77.44173027068629,76.53889206299574,77.14527516661408,35515200
2004-04-27,77.01055145263672,77.56303287873793,76.78147102991042,76.96338859212929,43485500
2004-04-28,76.01341247558594,76.81518651095422,75.7978100215837,76.73433366306539,50165800
2004-04-29,75.34636688232422,76.35026497638901,74.89495020503485,75.94601115881098,69687600
2004-04-30,74.76020050048828,75.71693579876329,74.71977665813954,75.57544721017614,48681400
2004-05-03,75.56196594238281,75.6562916576627,75.02295744904119,75.036435488576,33758000
2004-05-04,75.50129699707031,76.30980943672677,75.23179799088221,75.6293126232645,51185100
2004-05-05,75.98641204833984,76.10768867102078,75.56868545716686,75.73712492531459,34405000
2004-05-06,75.3328628540039,75.85839314959549,74.78712064556102,75.47435138432745,54997000
2004-05-07,74.0864028930664,75.61583589141819,74.0864028930664,74.93533911249274,60950000
2004-05-10,73.32510375976562,73.94496004995875,73.00843659358499,73.73609665965535,75279400
2004-05-11,73.9449691772461,74.14709871178195,73.66199194118995,73.74957866462611,48300600
2004-05-12,74.41654205322266,74.47718292421852,72.8062614284953,73.82363707879892,90830500
2004-05-13,74.10662841796875,74.65910967869621,73.86407516785769,73.95166698284291,57393700
2004-05-14,74.14034271240234,74.6119713311639,73.6215460913982,74.07970180978076,54123100
2004-05-17,73.50701141357422,73.77651569532911,73.04212179642282,73.36552282223539,55020400
2004-05-18,73.87755584716797,74.07294625787894,73.66195352161876,73.7697521142109,30193100
2004-05-19,73.62153625488281,74.90841653471182,73.54068858267792,74.45026087754307,54804100
2004-05-20,73.85737609863281,74.02581564946318,73.46659510701824,73.74283329738913,38082900
2004-05-21,73.9853515625,74.48393609748928,73.75627634942227,74.09315529126462,47480400
2004-05-24,74.2952651977539,74.62541019794666,73.89775059066478,74.47044365292112,40961500
2004-05-25,75.35980987548828,75.44740168045287,73.8438548059039,74.04598420466081,48668000
2004-05-26,75.62258911132812,75.6562790641913,75.13074869786237,75.2318134160868,35977000
2004-05-27,76.04708099365234,76.1548796200584,75.50133342000758,75.8247395799588,45306900
2004-05-28,76.04032135009766,76.05379424710695,75.70344238084873,75.95273466862439,23367200
2004-06-01,75.93925476074219,76.0403194771005,75.37330057371962,75.77081528026666,41044700
2004-06-02,76.22222900390625,76.45804838004547,75.77081244680026,76.15485424230853,39774200
2004-06-03,75.521484375,76.26262182234755,75.50801148521295,76.00659065313208,38688300
2004-06-04,76.1211929321289,76.52544676688285,75.93927536525146,76.1211929321289,32739500
2004-06-07,77.280029296875,77.35414307731807,76.41762000484455,76.42435902316616,31643800
2004-06-08,77.38783264160156,77.42825647059934,76.92293804666778,77.05769271060176,32846500
2004-06-09,76.66690826416016,77.28002524983178,76.6197454191085,77.15201475061417,36737600
2004-06-10,77.04423522949219,77.04423522949219,76.76125807027954,76.83537187012564,21711000
2004-06-14,76.28289031982422,76.70735605791049,76.0470760208874,76.68714413805392,34633000
2004-06-15,76.82189178466797,77.11160795625318,76.47827887492922,76.74104410725464,37445000
2004-06-16,76.80838775634766,76.94313725766933,76.60625836400115,76.80838775634766,26633400
2004-06-17,76.6938705444336,76.85557101705767,76.35699156125365,76.70734344200004,28402400
2004-06-18,76.83860778808594,77.23757887434348,76.53431191685834,76.59516902745142,31799800
2004-06-21,76.54780578613281,77.18345177785626,76.50047077562975,76.91972741089211,25284000
2004-06-22,76.93324279785156,77.00762711633439,76.189404772152,76.50046412256714,37334000
2004-06-23,77.59597778320312,77.65683489723826,76.69660704216487,76.82509005063646,35580000
2004-06-24,77.35250091552734,77.71765889730538,77.2645945188346,77.4674566248476,35272100
2004-06-25,76.98057556152344,77.724418724681,76.87238347541873,77.36602437832069,32837900
2004-06-28,76.71685791015625,77.50127252906458,76.68981375561995,77.44041028353524,40824500
2004-06-29,77.03466796875,77.20372228144079,76.6965593433684,76.77094365368262,28418100
